Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,broad-scale_environmental_context,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_local_scale,environmental_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_material_id,SRA Study,host_common_name,Host_Diet,host_genotype,host_intranasal_treatment,host_sex,host_subject_id,host_strain,neg_cont_type,pos_cont_type
SRR29054901,AMPLICON,502,12377312,PRJNA1111477,SAMN41393545,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,6660506,DUKE UNIVERSITY,2022-08-30,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Mouse Stool,not applicable,SRX24579989,USA,North America,USA:Durham,Mus musculus,Illumina MiSeq,36.01 N 78.94 W,227,PAIRED,PCR,GENOMIC,mouse gut metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:22:00Z,1,Fecal_JI-727_Week_10_Label227,227,SRP508123,Mouse,Normal_Chow,"Wild type\, GLP1r(+/+)",House dust mite,female,JI-727,C57BL/6,,
SRR29054902,AMPLICON,502,8398460,PRJNA1111477,SAMN41393584,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,4578641,DUKE UNIVERSITY,2022-09-02,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",Mouse Stool,not applicable,SRX24579988,USA,North America,USA:Durham,Mus musculus,Illumina MiSeq,36.01 N 78.94 W,226,PAIRED,PCR,GENOMIC,mouse gut metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:22:00Z,1,Fecal_JI-742_Week_10_Label226,226,SRP508123,Mouse,Normal_Chow,"Wild type\, GLP1r(+/+)",House dust mite,male,JI-742,C57BL/6,,
SRR29054903,AMPLICON,502,7734314,PRJNA1111477,SAMN41393587,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,4299345,DUKE UNIVERSITY,2022-09-02,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",Mouse Stool,not applicable,SRX24579987,USA,North America,USA:Durham,Mus musculus,Illumina MiSeq,36.01 N 78.94 W,225,PAIRED,PCR,GENOMIC,mouse gut metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:21:00Z,1,Fecal_JI-743_Week_10_Label225,225,SRP508123,Mouse,Normal_Chow,"Wild type\, GLP1r(+/+)",Phosphate buffer saline,male,JI-743,C57BL/6,,
SRR29054904,AMPLICON,502,11713166,PRJNA1111477,SAMN41393634,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,6238834,DUKE UNIVERSITY,2022-09-09,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",Mouse Stool,not applicable,SRX24579986,USA,North America,USA:Durham,Mus musculus,Illumina MiSeq,36.01 N 78.94 W,224,PAIRED,PCR,GENOMIC,mouse gut metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:21:00Z,1,Fecal_JI-761_Week_10_Label224,224,SRP508123,Mouse,High_Fat_Diet,"Wild type\, GLP1r(+/+)",Phosphate buffer saline,female,JI-761,C57BL/6,,
SRR29054905,AMPLICON,502,11433552,PRJNA1111477,SAMN41393580,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,6144740,DUKE UNIVERSITY,2022-09-02,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",Mouse Stool,not applicable,SRX24579985,USA,North America,USA:Durham,Mus musculus,Illumina MiSeq,36.01 N 78.94 W,223,PAIRED,PCR,GENOMIC,mouse gut metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:21:00Z,1,Fecal_JI-741_Week_10_Label223,223,SRP508123,Mouse,Normal_Chow,"Wild type\, GLP1r(+/+)",House dust mite,male,JI-741,C57BL/6,,
SRR29054906,AMPLICON,502,11277932,PRJNA1111477,SAMN41393542,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,6198510,DUKE UNIVERSITY,2022-08-30,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",Mouse Stool,not applicable,SRX24579984,USA,North America,USA:Durham,Mus musculus,Illumina MiSeq,36.01 N 78.94 W,222,PAIRED,PCR,GENOMIC,mouse gut metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:21:00Z,1,Fecal_JI-726_Week_13_Label222,222,SRP508123,Mouse,Normal_Chow,"Wild type\, GLP1r(+/+)",Phosphate buffer saline,female,JI-726,C57BL/6,,
SRR29054907,AMPLICON,502,7614838,PRJNA1111477,SAMN41393633,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,4213234,DUKE UNIVERSITY,2022-09-09,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",Mouse Stool,not applicable,SRX24579983,USA,North America,USA:Durham,Mus musculus,Illumina MiSeq,36.01 N 78.94 W,221,PAIRED,PCR,GENOMIC,mouse gut metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:21:00Z,1,Fecal_JI-761_Week_0_Label221,221,SRP508123,Mouse,High_Fat_Diet,"Wild type\, GLP1r(+/+)",Phosphate buffer saline,female,JI-761,C57BL/6,,
SRR29054908,AMPLICON,502,78814,PRJNA1111477,SAMN41393729,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,112878,DUKE UNIVERSITY,2022-12-27,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,SRX24579982,uncalculated,uncalculated,missing: control sample,not applicable,Illumina MiSeq,not applicable,220,PAIRED,PCR,GENOMIC,metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:21:00Z,1,PSPro-Kit-blank-6,220,SRP508123,,,,,,,,DNA Extraction Blank,
SRR29054909,AMPLICON,502,9261398,PRJNA1111477,SAMN41393628,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,4909961,DUKE UNIVERSITY,2022-09-09,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",Mouse Stool,not applicable,SRX24579981,USA,North America,USA:Durham,Mus musculus,Illumina MiSeq,36.01 N 78.94 W,219,PAIRED,PCR,GENOMIC,mouse gut metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:21:00Z,1,Fecal_JI-759_Week_10_Label219,219,SRP508123,Mouse,High_Fat_Diet,"Wild type\, GLP1r(+/+)",Phosphate buffer saline,female,JI-759,C57BL/6,,
SRR29054910,AMPLICON,502,4404046,PRJNA1111477,SAMN41393632,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,2376388,DUKE UNIVERSITY,2022-09-09,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",Mouse Stool,not applicable,SRX24579980,USA,North America,USA:Durham,Mus musculus,Illumina MiSeq,36.01 N 78.94 W,218,PAIRED,PCR,GENOMIC,mouse gut metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:21:00Z,1,Fecal_JI-761_Week_13_Label218,218,SRP508123,Mouse,High_Fat_Diet,"Wild type\, GLP1r(+/+)",Phosphate buffer saline,female,JI-761,C57BL/6,,
