Mouse,Per_Mac,Per_Neut,Per_Eos,Per_Lym,Per_Epi
JI-723,50.21834061,13.5371179,31.87772926,2.620087336,1.746724891
JI-724,86.55462185,0,3.781512605,1.260504202,8.403361345
JI-725,88.60759494,0.421940928,4.219409283,0,6.751054852
JI-726,87.67772512,0.473933649,7.109004739,0,4.739336493
JI-727,51.12107623,7.174887892,41.70403587,0,0
JI-728,53.25670498,0,46.74329502,0,0
JI-729,94.36619718,0,0.469483568,0.469483568,4.694835681
JI-730,24.90421456,3.448275862,66.66666667,1.915708812,3.0651341
JI-731,90.19607843,0.490196078,1.960784314,0.490196078,6.862745098
JI-732,90.82125604,0.966183575,3.381642512,0.483091787,4.347826087
JI-733,62.8,1.2,30,2,4
JI-734,68.69158879,0.46728972,28.5046729,0,2.336448598
JI-735,64.67889908,4.587155963,27.06422018,2.293577982,1.376146789
JI-736,88.93617021,1.276595745,8.510638298,0,1.276595745
JI-737,85.07462687,0,1.492537313,0,13.43283582
JI-738,62.25490196,10.29411765,20.58823529,0,6.862745098
JI-739,93.38842975,0,2.066115702,0,4.545454545
JI-740,35.76642336,18.97810219,41.97080292,1.824817518,1.459854015
JI-741,90.82125604,4.347826087,4.830917874,0,0
JI-742,70.95435685,5.394190871,22.406639,0,1.244813278
JI-743,86.70886076,1.265822785,3.164556962,0,8.860759494
JI-744,88.80597015,1.119402985,1.865671642,0,8.208955224
JI-745,81.42857143,5,4.285714286,0,9.285714286
JI-746,93.9516129,0,1.612903226,0,4.435483871
JI-747,35.71428571,13.02521008,51.2605042,0,0
JI-748,68.5483871,0,31.4516129,0,0
JI-749,53.96226415,0,46.03773585,0,0
JI-750,89.81132075,1.132075472,4.905660377,0,4.150943396
JI-751,91.86046512,0,2.325581395,0,5.813953488
JI-752,74.08906883,3.643724696,11.74089069,0,10.52631579
JI-753,67.96116505,5.339805825,20.38834951,0,6.310679612
JI-754,85.83333333,0,5.833333333,0,8.333333333
JI-755,78.72340426,5.957446809,14.46808511,0.85106383,0
JI-756,33.96226415,16.03773585,48.11320755,1.41509434,0.471698113
JI-757,93.95017794,0,2.846975089,0,3.202846975
JI-758,84.44444444,0.37037037,8.888888889,0.37037037,5.925925926
JI-759,92.30769231,0,1.025641026,0,6.666666667
JI-760,67.28110599,10.59907834,18.89400922,2.304147465,0.921658986
JI-761,95,0,1.818181818,0,3.181818182
JI-762,74.66666667,11.55555556,13.77777778,0,0
JI-763,60.29962547,8.61423221,29.58801498,1.123595506,0.374531835
JI-764,93.88646288,0,4.366812227,0,1.746724891
JI-765,96.34703196,0,1.826484018,1.369863014,0.456621005
