Mouse,Genotype,Sex,Cage-Mouse,Diet,Intranasal_Treatment,Surgery,Group,Week,AUC,MaxPeak,Glucose_min_0
JI-651,KO,Male,1420958-2,High_Fat_Diet,PBS,None,1,0,21135,297,204
JI-651,KO,Male,1420958-2,High_Fat_Diet,PBS,None,1,10,26095,346,231
JI-652,KO,Male,1420958-1,High_Fat_Diet,HDM,None,1,0,23210,312,216
JI-652,KO,Male,1420958-1,High_Fat_Diet,HDM,None,1,10,27910,363,221
JI-660,KO,Male,1467745-1,Normal_Chow,PBS,None,1,0,23650,351,207
JI-660,KO,Male,1467745-1,Normal_Chow,PBS,None,1,10,20680,263,177
JI-666,KO,Female,1420952-4,High_Fat_Diet,HDM,None,1,0,26470,362,192
JI-666,KO,Female,1420952-4,High_Fat_Diet,HDM,None,1,10,27795,391,174
JI-667,KO,Female,1420952-5,High_Fat_Diet,PBS,None,1,0,23385,369,188
JI-667,KO,Female,1420952-5,High_Fat_Diet,PBS,None,1,10,29235,412,227
JI-671,KO,Female,1477826/1420952-2,High_Fat_Diet,HDM,VSG,2,0,24005,388,179
JI-671,KO,Female,1477826/1420952-2,High_Fat_Diet,HDM,VSG,2,10,20985,332,173
JI-674,KO,Female,1477828/1420952-1,High_Fat_Diet,PBS,Sham,2,0,21895,346,195
JI-674,KO,Female,1477828/1420952-1,High_Fat_Diet,PBS,Sham,2,10,23905,339,184
JI-675,KO,Female,1477827/1420952-3,High_Fat_Diet,PBS,VSG,2,0,23735,327,204
JI-675,KO,Female,1477827/1420952-3,High_Fat_Diet,PBS,VSG,2,10,26715,412,191
JI-683,KO,Female,1420959-1,Normal_Chow,HDM,None,1,0,21035,293,177
JI-683,KO,Female,1420959-1,Normal_Chow,HDM,None,1,10,21865,294,161
JI-683,KO,Female,1420959-1,Normal_Chow,HDM,None,1,12,20690,282,176
JI-684,KO,Female,1420959-2,Normal_Chow,PBS,None,1,0,18365,307,176
JI-684,KO,Female,1420959-2,Normal_Chow,PBS,None,1,10,21850,318,160
JI-684,KO,Female,1420959-2,Normal_Chow,PBS,None,1,12,21275,315,172
