Mouse,Diet,Genotype,Surgery,Intranasal treatment,Sex,HE_score,PAS_score
JI-723,HFD,KO,No,HDM,F,2.5,0.8
JI-724,NC,WT,No,PBS,F,1.6,0.25
JI-725,NC,WT,No,PBS,F,2.1,0
JI-726,NC,WT,No,PBS,F,1.5,0
JI-727,NC,WT,No,HDM,F,2.85,1.6
JI-728,NC,WT,No,HDM,F,2.05,1.4
JI-729,HFD,WT,Sham,PBS,M,0.8,0
JI-730,HFD,KO,No,HDM,M,2.65,2.7
JI-731,HFD,KO,No,PBS,M,1.65,0
JI-732,HFD,KO,VSG,PBS,M,0.85,0
JI-733,HFD,KO,Sham,HDM,M,1.8,1.3
JI-734,HFD,WT,Sham,HDM,M,1.6,0.6
JI-735,HFD,KO,Sham,HDM,F,2.2,0.83
JI-736,HFD,WT,No,HDM,M,2.4,0.7
JI-737,HFD,WT,No,PBS,M,1.1,0.1
JI-738,HFD,KO,VSG,HDM,F,2.85,0.7
JI-739,HFD,WT,VSG,PBS,M,1.75,0
JI-740,NC,WT,No,HDM,M,2.17,1.6
JI-741,NC,WT,No,HDM,M,2.6,2.1
JI-742,NC,WT,No,HDM,M,2.4,1.1
JI-743,NC,WT,No,PBS,M,0.45,0
JI-744,NC,WT,No,PBS,M,0.85,0
JI-745,HFD,KO,Sham,PBS,F,1.3,0.1
JI-746,HFD,KO,Sham,PBS,M,0.9,0
JI-747,NC,KO,No,HDM,M,2.94,1.75
JI-748,NC,KO,No,HDM,M,3.05,0.6
JI-749,NC,KO,No,HDM,M,2.55,2.3
JI-750,NC,KO,No,PBS,M,0.9,0
JI-751,NC,KO,No,PBS,M,0.7,0
JI-752,HFD,KO,VSG,HDM,M,1.25,0.3
JI-753,HFD,KO,Sham,HDM,M,1.65,0.1
JI-754,HFD,WT,VSG,PBS,F,0.85,0
JI-755,NC,KO,No,HDM,F,2.85,2.2
JI-756,NC,KO,No,HDM,F,2.67,1.6
JI-757,NC,KO,No,PBS,F,1.05,0
JI-758,NC,KO,No,PBS,F,1.43,0
JI-759,HFD,WT,Sham,PBS,F,0.9,0
JI-760,HFD,WT,No,HDM,F,2.14,0
JI-761,HFD,WT,No,PBS,F,1.8,0
JI-762,HFD,WT,Sham,HDM,F,2.25,0.4
JI-763,HFD,KO,No,HDM,F,2.9,1.5
JI-764,HFD,KO,No,PBS,F,1.25,0
JI-765,HFD,KO,No,PBS,F,1.33,0
