Sample,C-Peptide_pg_ml,Ghrelin_pg_ml,GLP-1_pM,Insulin_uIU/ml,Leptin_pg_ml,PYY_pg_ml
JI-723,1638.34,125.96,10.14,19073.29,5847.66,165.20
JI-724,2965.52,220.04,23.55,16773.66,2050.11,231.48
JI-725,2383.22,433.90,22.45,118410.34,1521.99,256.89
JI-726,3078.24,285.12,16.74,,2661.96,158.42
JI-727,,551.53,6.74,,933.84,68.51
JI-728,,464.87,16.50,21639.10,3017.95,222.89
JI-729,,1232.81,8.49,38971.32,23197.21,128.99
JI-730,3546.79,151.62,14.80,34113.52,85546.13,138.98
JI-731,6762.00,139.61,13.40,51122.71,65863.64,88.66
JI-733,1572.55,12.99,2.74,,7570.31,17.32
JI-734,7584.38,80.15,23.94,835369.42,48592.05,306.14
JI-735,1041.51,85.55,7.26,,12083.52,53.27
JI-736,3396.70,108.52,10.09,,67269.79,91.11
JI-737,5206.86,197.53,16.67,,94540.49,153.49
JI-740,1634.20,333.20,14.70,,6031.39,134.52
JI-741,2129.59,472.17,29.03,205073.52,3349.01,152.09
JI-742,2641.01,149.87,20.72,367615.61,5778.18,166.18
JI-743,3231.98,190.94,15.76,,10763.80,140.51
JI-744,2496.93,78.71,20.58,,8077.55,177.46
JI-745,3035.80,21.81,2.66,,2689.92,21.58
JI-746,,61.20,5.23,,14231.26,45.64
JI-747,1637.54,341.54,13.22,,3631.96,117.41
JI-748,2286.43,244.19,26.03,38655.97,13352.53,202.79
JI-749,2514.83,274.01,21.95,,6398.31,172.87
JI-750,2509.46,196.59,15.24,,12078.12,162.91
JI-751,3551.10,162.53,28.37,,7165.63,331.11
JI-753,2886.28,43.88,7.19,,30702.42,122.83
JI-754,2229.38,199.49,12.70,,11509.72,517.92
JI-755,2646.22,517.91,13.56,,2945.74,202.34
JI-756,1870.16,838.48,14.12,,2212.91,209.72
JI-757,1212.72,434.14,9.54,,2511.58,108.15
JI-758,2503.84,736.23,15.67,12669.84,3444.82,162.61
JI-759,4605.24,125.41,13.27,,16252.06,238.70
JI-760,4433.33,164.97,7.52,,40094.31,122.00
JI-761,4609.59,99.73,11.61,,30296.37,248.22
JI-762,3255.83,134.71,7.60,,14048.15,147.64
JI-763,4282.16,60.39,10.97,,30770.96,147.14
JI-765,1858.81,198.46,14.67,,35453.69,98.10
