Mouse,Intranasal_treatment,Sex,Diet,Genotype,Surgery,Airway_num,Total_Area,Total_Major,Total_Minor,Percent_Diff_Total Major_over_Minor,Lumen_Area,Lumen_Major,Lumen_Minor,Percent_Diff_Lumen_Major_over_Minor,Difference_Total_minua_Lumen,Trichrome_Area,Trichrome_Major,Trichrome_Minor,Percent_Diff_Trichrome _Major_over_Minor,Percent_Trichrome_Area,Mean_Percent_Trichrome_Area,Mean_Percent_Trichrome_Area_outliers_removed
JI-723,HDM,F,HFD,KO,No,1,974957,1723.05,720.44,58.18809669,434176,1238.275,446.436,63.94694232,540781,67015,428.019,199.351,53.42473115,12.3922623,9.6569046,9.6569046
JI-723,HDM,F,HFD,KO,No,2,98912,385.277,326.878,15.15766578,21214,183.532,147.17,19.8123488,77698,8259,124.837,84.235,32.52401131,10.62961724,9.6569046,9.6569046
JI-723,HDM,F,HFD,KO,No,3,118340,428.53,351.609,17.9499685,51092,285.679,227.711,20.29130598,67248,5859,96.891,76.993,20.53647914,8.712526767,9.6569046,9.6569046
JI-723,HDM,F,HFD,KO,No,4,161438,571.524,359.651,37.07158405,70765,416.173,216.498,47.97884534,90673,6457,97.842,84.027,14.11970319,7.12119374,9.6569046,9.6569046
JI-723,HDM,F,HFD,KO,No,5,112435,419.696,341.096,18.7278411,43640,269.013,206.548,23.22006743,68795,5300,87.34,77.263,11.53766888,7.704048259,9.6569046,9.6569046
JI-723,HDM,F,HFD,KO,No,6,88963,422.247,268.258,36.4689388,31438,247.189,161.933,34.4902079,57525,4191,80.254,66.491,17.14930097,7.285528031,9.6569046,9.6569046
JI-723,HDM,F,HFD,KO,No,7,67051,347.528,245.655,29.31360926,22693,219.836,131.433,40.2131589,44358,3978,80.03,63.288,20.91965513,8.967942648,9.6569046,9.6569046
JI-723,HDM,F,HFD,KO,No,8,299687,815.066,468.15,42.56293355,100450,569.6,224.538,60.57970506,199237,28148,248.086,144.462,41.76938642,14.12789793,9.6569046,9.6569046
JI-723,HDM,F,HFD,KO,No,9,151505,521.383,369.982,29.03834609,53823,354.927,193.081,45.5997994,97682,9453,124.305,96.826,22.10610997,9.677320284,9.6569046,9.6569046
JI-723,HDM,F,HFD,KO,No,10,157592,548.827,365.602,33.38483712,58182,316.189,234.289,25.90222936,99410,9892,154.982,81.267,47.56358803,9.950709184,9.6569046,9.6569046
JI-724,PBS,F,NC,WT,No,1,849289,1721.328,628.206,63.50457321,259604,883.073,374.304,57.61347023,589685,41407,349.225,150.966,56.77113609,7.021884565,8.282755,8.282755
JI-724,PBS,F,NC,WT,No,2,154471,496.682,395.985,20.27393785,79161,371.387,271.391,26.92501353,75310,4193,78.694,67.841,13.79139452,5.567653698,8.282755,8.282755
JI-724,PBS,F,NC,WT,No,3,173115,504.1,437.248,13.26165443,81770,332.897,312.747,6.052923277,91345,5077,86.09,75.087,12.78081078,5.558049154,8.282755,8.282755
JI-724,PBS,F,NC,WT,No,4,202603,627.689,410.971,34.5263339,32713,266.465,156.311,41.33901263,169890,24979,225.18,141.239,37.27728928,14.70304315,8.282755,8.282755
JI-724,PBS,F,NC,WT,No,5,817909,1495.091,696.542,53.4113977,398705,1018.617,498.369,51.07395616,419204,40734,323.234,160.454,50.35980126,9.716987433,8.282755,8.282755
JI-724,PBS,F,NC,WT,No,6,187753,515.33,463.886,9.982729513,47090,340.629,176.018,48.32559764,140663,10341,118.607,111.01,6.405186878,7.351613431,8.282755,8.282755
JI-724,PBS,F,NC,WT,No,7,64817,330.884,249.415,24.62161966,19088,194.74,124.8,35.91455274,45729,2039,63.226,41.061,35.05678044,4.458877299,8.282755,8.282755
JI-724,PBS,F,NC,WT,No,8,244896,692.95,449.977,35.0635688,64712,366.447,224.845,38.64187727,180184,17159,179.111,121.978,31.89809671,9.523043111,8.282755,8.282755
JI-724,PBS,F,NC,WT,No,9,126410,447.649,359.546,19.68126814,46679,268.464,221.384,17.53680195,79731,4769,89.841,67.587,24.77042776,5.981362331,8.282755,8.282755
JI-724,PBS,F,NC,WT,No,10,188073,610.409,392.297,35.73210749,26822,307.861,110.929,63.96782964,161251,20874,208.959,127.191,39.13112142,12.945036,8.282755,8.282755
JI-725,PBS,F,NC,WT,No,1,886574,1748.961,645.424,63.09671857,388972,1115.202,444.094,60.17815606,497602,48082,408.276,149.947,63.27312896,9.662742513,12.427382,12.427382
JI-725,PBS,F,NC,WT,No,2,266620,689.926,492.04,28.6822065,114830,440.253,332.095,24.56723747,151790,19980,186.256,136.582,26.66974487,13.16292246,12.427382,12.427382
JI-725,PBS,F,NC,WT,No,3,338842,743.458,580.298,21.94609514,139268,489.178,362.489,25.89834375,199574,30243,231.155,166.584,27.93407021,15.15377755,12.427382,12.427382
JI-725,PBS,F,NC,WT,No,4,275201,728.963,480.678,34.06002774,128733,592.544,276.617,53.31705325,146468,15684,172.95,115.464,33.23850824,10.70814103,12.427382,12.427382
JI-725,PBS,F,NC,WT,No,5,230640,576.804,509.116,11.73500877,78429,415.688,240.226,42.2100229,152211,20786,165.039,160.36,2.835087464,13.65604326,12.427382,12.427382
JI-725,PBS,F,NC,WT,No,6,97626,400.148,310.638,22.36922339,27962,221.883,160.455,27.68486094,69664,9314,127.414,93.074,26.95151239,13.36988976,12.427382,12.427382
JI-725,PBS,F,NC,WT,No,7,328872,732.976,571.278,22.06047674,92814,368.138,321.006,12.80280764,236058,40321,262.03,195.926,25.22764569,17.08097163,12.427382,12.427382
JI-725,PBS,F,NC,WT,No,8,841537,1616.085,663.009,58.97437325,354082,1011.998,445.486,55.97955727,487455,54736,421.573,165.314,60.78638812,11.22893395,12.427382,12.427382
JI-725,PBS,F,NC,WT,No,9,148559,476.509,396.952,16.69580218,37281,252.515,187.979,25.55729363,111278,13448,146.2,117.117,19.89261286,12.08504826,12.427382,12.427382
JI-725,PBS,F,NC,WT,No,10,88645,391.614,288.208,26.40508256,15127,145.108,132.73,8.530198197,73518,6003,104.711,72.994,30.29003639,8.165347262,12.427382,12.427382
JI-726,PBS,F,NC,WT,No,1,115421,427.267,343.95,19.49998479,55534,307.71,229.788,25.32319392,59887,5870,96.436,77.501,19.63478369,9.801793378,10.067619,9.4712952
JI-726,PBS,F,NC,WT,No,2,269851,833.881,412.031,50.58875307,109724,607.152,230.099,62.10191188,160127,16556,193.126,109.15,43.48249329,10.33929319,10.067619,9.4712952
