taxon,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6,Tax_rank,Test
Butyricicoccus,41,FALSE,FALSE,TRUE,TRUE,Genus,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Lachnospiraceae UCG-001,50,TRUE,TRUE,TRUE,TRUE,Genus,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Tyzzerella,39,FALSE,FALSE,TRUE,TRUE,Genus,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Muribaculum,42,FALSE,FALSE,TRUE,TRUE,Genus,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Rikenellaceae RC9 gut group,49,FALSE,TRUE,TRUE,TRUE,Genus,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Prevotellaceae UCG-001,54,TRUE,TRUE,TRUE,TRUE,Genus,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Prevotellaceae NK3B31 group,53,TRUE,TRUE,TRUE,TRUE,Genus,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Rikenella,49,FALSE,TRUE,TRUE,TRUE,Genus,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Coriobacteriaceae UCG-002,47,FALSE,TRUE,TRUE,TRUE,Genus,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Acetatifactor,47,FALSE,TRUE,TRUE,TRUE,Genus,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Tuzzerella,47,FALSE,TRUE,TRUE,TRUE,Genus,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Parasutterella,44,FALSE,FALSE,TRUE,TRUE,Genus,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Candidatus Arthromitus,39,FALSE,FALSE,TRUE,TRUE,Genus,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Lactococcus,54,TRUE,TRUE,TRUE,TRUE,Genus,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
HT002,40,FALSE,FALSE,TRUE,TRUE,Genus,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Romboutsia,50,TRUE,TRUE,TRUE,TRUE,Genus,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Bifidobacterium,52,TRUE,TRUE,TRUE,TRUE,Genus,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
[Eubacterium] coprostanoligenes group,25,TRUE,TRUE,TRUE,TRUE,Family,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Prevotellaceae,27,TRUE,TRUE,TRUE,TRUE,Family,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Muribaculaceae,20,FALSE,FALSE,TRUE,TRUE,Family,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Atopobiaceae,26,TRUE,TRUE,TRUE,TRUE,Family,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Sutterellaceae,26,TRUE,TRUE,TRUE,TRUE,Family,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Streptococcaceae,26,TRUE,TRUE,TRUE,TRUE,Family,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Enterococcaceae,20,FALSE,FALSE,TRUE,TRUE,Family,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Lactobacillaceae,21,FALSE,FALSE,TRUE,TRUE,Family,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Peptostreptococcaceae,26,TRUE,TRUE,TRUE,TRUE,Family,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Anaerovoracaceae,20,FALSE,FALSE,TRUE,TRUE,Family,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Bifidobacteriaceae,27,TRUE,TRUE,TRUE,TRUE,Family,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Oscillospirales,12,FALSE,FALSE,TRUE,TRUE,Order,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Coriobacteriales,12,FALSE,FALSE,TRUE,TRUE,Order,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Burkholderiales,17,TRUE,TRUE,TRUE,TRUE,Order,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Clostridia UCG-014,15,FALSE,TRUE,TRUE,TRUE,Order,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Peptostreptococcales-Tissierellales,17,TRUE,TRUE,TRUE,TRUE,Order,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Bifidobacteriales,17,TRUE,TRUE,TRUE,TRUE,Order,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Coriobacteriia,10,TRUE,TRUE,TRUE,TRUE,Class,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Verrucomicrobiae,9,FALSE,TRUE,TRUE,TRUE,Class,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Gammaproteobacteria,11,TRUE,TRUE,TRUE,TRUE,Class,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Actinobacteria,11,TRUE,TRUE,TRUE,TRUE,Class,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Verrucomicrobiota,7,FALSE,FALSE,TRUE,TRUE,Phylum,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Proteobacteria,9,TRUE,TRUE,TRUE,TRUE,Phylum,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
Actinobacteriota,7,FALSE,FALSE,TRUE,TRUE,Phylum,"ANCOM II, fecal microbiome: no surgery, main effect Diet (structural zeroes) and week + genotype"
