OTU,Sample,Abundance,Label,Sample_type,Type,Sequencing_Run,Mouse,Genotype,Sex,Diet,Intranasal_Treatment,Surgery,Week
Bacteroides,SRR29054979,0.47553944984351837,19,Fecal,True Sample,2,JI-656,KO,Male,High_Fat_Diet,PBS,None,10
Faecalibaculum,SRR29055011,0.43951349747849305,6,Fecal,True Sample,2,JI-652,KO,Male,High_Fat_Diet,HDM,None,10
Lactobacillus,SRR29055029,0.4290550938750385,35,Fecal,True Sample,2,JI-681,WT,Female,High_Fat_Diet,HDM,VSG,13
Lactobacillus,SRR29055129,0.4227617602427921,61,Fecal,True Sample,2,JI-687,KO,Female,High_Fat_Diet,HDM,Sham,0
Lactobacillus,SRR29055005,0.42274354625965704,292,Fecal,True Sample,2,JI-751,KO,Male,Normal_Chow,PBS,None,13
Faecalibaculum,SRR29055077,0.421364282330649,13,Fecal,True Sample,2,JI-689,KO,Female,High_Fat_Diet,PBS,Sham,13
Lactobacillus,SRR29055179,0.41768579492003766,15,Fecal,True Sample,2,JI-675,KO,Female,High_Fat_Diet,PBS,VSG,13
Faecalibaculum,SRR29055133,0.4110985985985986,57,Fecal,True Sample,2,JI-652,KO,Male,High_Fat_Diet,HDM,None,10
Lactobacillus,SRR29055104,0.39703534777651084,209,Fecal,True Sample,2,JI-760,WT,Female,High_Fat_Diet,HDM,None,13
Lactobacillus,SRR29055021,0.39564415437003403,42,Fecal,True Sample,2,JI-690,WT,Male,High_Fat_Diet,PBS,Sham,13
Lactobacillus,SRR29055170,0.38318021201413427,282,Fecal,True Sample,2,JI-752,KO,Male,High_Fat_Diet,HDM,VSG,13
Lactobacillus,SRR29054999,0.37641809106035395,297,Fecal,True Sample,2,JI-738,KO,Female,High_Fat_Diet,HDM,VSG,13
Lactobacillus,SRR29055002,0.36879265709578724,295,Fecal,True Sample,2,JI-757,KO,Female,Normal_Chow,PBS,None,13
Lactobacillus,SRR29055184,0.36844143272023233,269,Fecal,True Sample,2,JI-731,KO,Male,High_Fat_Diet,PBS,None,13
Lactobacillus,SRR29054956,0.3681991154993315,29,Fecal,True Sample,2,JI-693,KO,Female,High_Fat_Diet,PBS,Sham,13
Bacteroides,SRR29055031,0.36489308085535316,33,Fecal,True Sample,2,JI-650,WT,Female,High_Fat_Diet,HDM,None,10
Lactobacillus,SRR29055017,0.361546299834416,46,Fecal,True Sample,2,JI-661,WT,Female,High_Fat_Diet,PBS,VSG,13
Bacteroides,SRR29054967,0.35793831049893765,28,Fecal,True Sample,2,JI-665,WT,Female,High_Fat_Diet,HDM,Sham,13
Bacteroides,SRR29055078,0.352355241109663,248,Fecal,True Sample,2,JI-729,WT,Male,High_Fat_Diet,PBS,Sham,13
Lactobacillus,SRR29054917,0.34558947545960533,212,Fecal,True Sample,2,JI-728,WT,Female,Normal_Chow,HDM,None,0
Lactobacillus,SRR29055060,0.3435371546644218,331,Fecal,True Sample,2,JI-755,KO,Female,Normal_Chow,HDM,None,13
Lactobacillus,SRR29054916,0.33991972831120715,213,Fecal,True Sample,2,JI-728,WT,Female,Normal_Chow,HDM,None,13
Lactobacillus,SRR29054944,0.33938991062855456,25,Fecal,True Sample,2,JI-686,KO,Female,High_Fat_Diet,PBS,VSG,13
Lactobacillus,SRR29054981,0.33708646093967193,314,Fecal,True Sample,2,JI-747,KO,Male,Normal_Chow,HDM,None,13
Bacteroides,SRR29055168,0.3345392636731219,16,Fecal,True Sample,2,JI-672,WT,Female,High_Fat_Diet,HDM,None,13
Lactobacillus,SRR29055108,0.33041174072564206,206,Fecal,True Sample,2,JI-727,WT,Female,Normal_Chow,HDM,None,0
Faecalibaculum,SRR29054956,0.32860228324591173,29,Fecal,True Sample,2,JI-693,KO,Female,High_Fat_Diet,PBS,Sham,13
Lactobacillus,SRR29055193,0.32745036243302866,259,Fecal,True Sample,2,JI-739,WT,Male,High_Fat_Diet,PBS,VSG,13
Lactobacillus,SRR29055102,0.32676269901440486,211,Fecal,True Sample,2,JI-744,WT,Male,Normal_Chow,PBS,None,13
Lactobacillus,SRR29055126,0.3244511733535201,63,Fecal,True Sample,2,JI-685,KO,Female,Normal_Chow,HDM,None,0
Bacteroides,SRR29055162,0.32287179487179485,291,Fecal,True Sample,2,JI-734,WT,Male,High_Fat_Diet,HDM,Sham,10
Faecalibaculum,SRR29055000,0.3222907488986784,296,Fecal,True Sample,2,JI-752,KO,Male,High_Fat_Diet,HDM,VSG,10
Helicobacter,SRR29055163,0.32054569699456353,290,Fecal,True Sample,2,JI-734,WT,Male,High_Fat_Diet,HDM,Sham,13
Lactobacillus,SRR29054987,0.32031708749266,308,Fecal,True Sample,2,JI-750,KO,Male,Normal_Chow,PBS,None,13
Bacteroides,SRR29055015,0.31646540157178454,48,Fecal,True Sample,2,JI-680,WT,Female,High_Fat_Diet,HDM,None,13
Bifidobacterium,SRR29055072,0.3147463002114165,255,Fecal,True Sample,2,JI-742,WT,Male,Normal_Chow,HDM,None,0
Lactobacillus,SRR29054998,0.3143823311846138,298,Fecal,True Sample,2,JI-756,KO,Female,Normal_Chow,HDM,None,13
Lactobacillus,SRR29054986,0.31411784741144416,309,Fecal,True Sample,2,JI-758,KO,Female,Normal_Chow,PBS,None,13
Lactobacillus,SRR29055012,0.3113824264564507,51,Fecal,True Sample,2,JI-684,KO,Female,Normal_Chow,PBS,None,0
Lactobacillus,SRR29055111,0.3106927284216949,203,Fecal,True Sample,2,JI-742,WT,Male,Normal_Chow,HDM,None,13
Faecalibaculum,SRR29055033,0.30989838551606746,4,Fecal,True Sample,2,JI-651,KO,Male,High_Fat_Diet,PBS,None,10
Lactobacillus,SRR29055119,0.3087803285823088,70,Fecal,True Sample,2,JI-687,KO,Female,High_Fat_Diet,HDM,Sham,10
Faecalibaculum,SRR29055009,0.30635406698564593,53,Fecal,True Sample,2,JI-675,KO,Female,High_Fat_Diet,PBS,VSG,10
Bacteroides,SRR29055011,0.30145357460694155,6,Fecal,True Sample,2,JI-652,KO,Male,High_Fat_Diet,HDM,None,10
Faecalibaculum,SRR29055143,0.2996784565916399,24,Fecal,True Sample,2,JI-657,KO,Male,Normal_Chow,HDM,None,10
Lactobacillus,SRR29054991,0.29697854655734024,305,Fecal,True Sample,2,JI-748,KO,Male,Normal_Chow,HDM,None,13
Lactobacillus,SRR29054913,0.2959866220735786,216,Fecal,True Sample,2,JI-760,WT,Female,High_Fat_Diet,HDM,None,0
Bacteroides,SRR29055016,0.29561215483545583,47,Fecal,True Sample,2,JI-679,KO,Female,High_Fat_Diet,HDM,None,13
Lactobacillus,SRR29055109,0.29489748728225684,205,Fecal,True Sample,2,JI-725,WT,Female,Normal_Chow,PBS,None,0
Helicobacter,SRR29055079,0.2916769369813491,247,Fecal,True Sample,2,JI-739,WT,Male,High_Fat_Diet,PBS,VSG,10
Faecalibaculum,SRR29054979,0.2898204579146763,19,Fecal,True Sample,2,JI-656,KO,Male,High_Fat_Diet,PBS,None,10
Faecalibaculum,SRR29055069,0.28843299869052813,321,Fecal,True Sample,2,JI-746,KO,Male,High_Fat_Diet,PBS,Sham,13
Bacteroides,SRR29055018,0.2868756408378497,45,Fecal,True Sample,2,JI-692,KO,Male,High_Fat_Diet,HDM,Sham,13
Lactobacillus,SRR29055008,0.2862669245647969,54,Fecal,True Sample,2,JI-690,WT,Male,High_Fat_Diet,PBS,Sham,10
Faecalibaculum,SRR29055001,0.2845956054230949,17,Fecal,True Sample,2,JI-691,WT,Male,High_Fat_Diet,HDM,None,13
Faecalibaculum,SRR29055041,0.2833333333333333,22,Fecal,True Sample,2,JI-683,KO,Female,Normal_Chow,HDM,None,13
Bifidobacterium,SRR29055023,0.2808270676691729,41,Fecal,True Sample,2,JI-664,WT,Female,Normal_Chow,PBS,None,13
Lactobacillus,SRR29055061,0.28075628075628073,330,Fecal,True Sample,2,JI-758,KO,Female,Normal_Chow,PBS,None,0
Lactobacillus,SRR29055027,0.28045662429327667,37,Fecal,True Sample,2,JI-688,KO,Female,High_Fat_Diet,HDM,VSG,13
Bifidobacterium,SRR29055025,0.27992957746478875,39,Fecal,True Sample,2,JI-660,KO,Male,Normal_Chow,PBS,None,10
Lactobacillus,SRR29055132,0.27963800904977376,58,Fecal,True Sample,2,JI-665,WT,Female,High_Fat_Diet,HDM,Sham,10
Bifidobacterium,SRR29055070,0.2691726074746165,258,Fecal,True Sample,2,JI-744,WT,Male,Normal_Chow,PBS,None,0
Lactobacillus,SRR29054984,0.26797179244290076,311,Fecal,True Sample,2,JI-749,KO,Male,Normal_Chow,HDM,None,13
Faecalibaculum,SRR29055122,0.2679650772330423,67,Fecal,True Sample,2,JI-685,KO,Female,Normal_Chow,HDM,None,10
Faecalibaculum,SRR29055106,0.26726286468259786,9,Fecal,True Sample,2,JI-685,KO,Female,Normal_Chow,HDM,None,13
Bacteroides,SRR29055107,0.2671232876712329,207,Fecal,True Sample,2,JI-726,WT,Female,Normal_Chow,PBS,None,10
Faecalibaculum,SRR29055154,0.265279489596172,23,Fecal,True Sample,2,JI-658,KO,Male,Normal_Chow,PBS,None,10
